year,month,period,rate
2016,10,11,0.0215
2016,10,12,0.022
2016,10,13,0.0224
2016,10,14,0.0227
2016,10,15,0.023
2016,10,16,0.0234
2016,10,17,0.0236
2016,10,18,0.0239
2016,10,19,0.0241
2016,10,20,0.0243
2016,10,21,0.0245
2016,10,22,0.0247
2016,10,23,0.0248
2016,10,24,0.0249
2016,10,25,0.0251
2016,11,1,0.0193
2016,11,2,0.0191
2016,11,3,0.0189
2016,11,4,0.0191
2016,11,5,0.0195
2016,11,6,0.02
2016,11,7,0.0205
2016,11,8,0.021
2016,11,9,0.0215
2016,11,10,0.0219
2016,11,11,0.0223
2016,11,12,0.0227
2016,11,13,0.0231
2016,11,14,0.0234
2016,11,15,0.0237
2016,11,16,0.024
2016,11,17,0.0242
2016,11,18,0.0244
2016,11,19,0.0246
2016,11,20,0.0248
2016,11,21,0.025
2016,11,22,0.0251
2016,11,23,0.0252
2016,11,24,0.0254
2016,11,25,0.0255
2016,12,1,0.0203
2016,12,2,0.0203
2016,12,3,0.0201
2016,12,4,0.0202
2016,12,5,0.0206
2016,12,6,0.0211
2016,12,7,0.0216
2016,12,8,0.0221
2016,12,9,0.0226
2016,12,10,0.0231
2016,12,11,0.02355
2016,12,12,0.024
2016,12,13,0.02435
2016,12,14,0.0247
2016,12,15,0.025
2016,12,16,0.0253
2016,12,17,0.0256
2016,12,18,0.0259
2016,12,19,0.0261
2016,12,20,0.0263
2016,12,21,0.0265
2016,12,22,0.0266
2016,12,23,0.0267
2016,12,24,0.0269
2016,12,25,0.027
2017,1,1,0.0197
2017,1,2,0.0197
2017,1,3,0.0197
2017,1,4,0.0199
2017,1,5,0.0204
2017,1,6,0.0209
2017,1,7,0.0215
2017,1,8,0.022
2017,1,9,0.0226
2017,1,10,0.0231
2017,1,11,0.0236
2017,1,12,0.0241
2017,1,13,0.0245
2017,1,14,0.0249
2017,1,15,0.0252
2017,1,16,0.0255
2017,1,17,0.0258
2017,1,18,0.0261
2017,1,19,0.0264
2017,1,20,0.0266
2017,1,21,0.0268
2017,1,22,0.0269
2017,1,23,0.0271
2017,1,24,0.0272
2017,1,25,0.0273
2017,2,1,0.0152
2017,2,2,0.016
2017,2,3,0.0167
2017,2,4,0.0174
2017,2,5,0.0181
2017,2,6,0.0188
2017,2,7,0.0247
2017,2,8,0.0202
2017,2,9,0.0209
2017,2,10,0.0215
2017,2,11,0.0221
2017,2,12,0.0226
2017,2,13,0.0231
2017,2,14,0.0236
2017,2,15,0.024
2017,2,16,0.0244
2017,2,17,0.0247
2017,2,18,0.025
2017,2,19,0.0253
2017,2,20,0.0256
2017,2,21,0.0258
2017,2,22,0.026
2017,2,23,0.0262
2017,2,24,0.0264
2017,2,25,0.0265
2017,3,1,0.0122
2017,3,2,0.0132
2017,3,3,0.0143
2017,3,4,0.0153
2017,3,5,0.0162
2017,3,6,0.0171
2017,3,7,0.0179
2017,3,8,0.0187
2017,3,9,0.0194
2017,3,10,0.0201
2017,3,11,0.0207
2017,3,12,0.0213
2017,3,13,0.0218
2017,3,14,0.0223
2017,3,15,0.0227
2017,3,16,0.0232
2017,3,17,0.0235
2017,3,18,0.0239
2017,3,19,0.0242
2017,3,20,0.0244
2017,3,21,0.0247
2017,3,22,0.0249
2017,3,23,0.0251
2017,3,24,0.0253
2017,3,25,0.0254
2017,4,1,0.0101
2017,4,2,0.0114
2017,4,3,0.0129
2017,4,4,0.014
2017,4,5,0.0151
2017,4,6,0.0161
2017,4,7,0.017
2017,4,8,0.0179
2017,4,9,0.0187
2017,4,10,0.0194
2017,4,11,0.0201
2017,4,12,0.0207
2017,4,13,0.0212
2017,4,14,0.0217
2017,4,15,0.0222
2017,4,16,0.0227
2017,4,17,0.023
2017,4,18,0.0234
2017,4,19,0.0237
2017,4,20,0.024
2017,4,21,0.0243
2017,4,22,0.0245
2017,4,23,0.0247
2017,4,24,0.0249
2017,4,25,0.0251
2017,5,1,0.0095
2017,5,2,0.011
2017,5,3,0.0126
2017,5,4,0.0139
2017,5,5,0.015
